name,slug,species,description,genetic_cultivation_description,references,hero_image_attribution,lab_data_attribution,thc_min,thc_max,cbd_min,cbd_max,featured_position,featured,avatar_image_url,hero_image_url,aliases,effects,flavors
Cannatonic,cannatonic,hybrid,"Also known as the CBD Queen, Cannatonic is a hybrid from Spain’s Resin Seeds. Reportedly introduced around 2008, and among the first high-CBD strain, Cannatonic is a cross of Reina Madre and NYC Diesel. 

The strain took 3rd Sativa at the 2008 High Times Cannabis Cup and is primarily recommended for medicinal use. The seed bank offers three main phenotypes of the strain — one with a 1:1 THC-to-CBD ratio, one with high CBD and low THC and one with a high THC-to-CBD ratio.

It spawned several notable phenotypes, including Cannatonic #4, Cannatonic X and Cannatonic B, and Highlo, a Cannatonic IBL from House of the Great Gardener. One of the earliest phenotypes to carry its own name, SuperCBDx, was developed by breeder PJ after he contracted a serious illness and focused on high-CBD strains, which are commonly used for medicinal purposes. From there, it was reportedly refined by Spanish seed bank Genofarm, whose version boasts a 26:1 CBD-to-THC ratio. 

Cannatonic has also served as the genetic base for several CBD-rich hybrids including Cancer’s Nightmare (Cannatonic and White Nightmare) from Sin City Seeds, CannaBerry (Cannatonic and Blackberry) from Apothecary Genetics, Hawkeye (Cannatonic and Mt. Rainer) from RedEyed Genetics, Hazy Med CBD (Super Silver Haze, Skunk #1 and Cannatonic) from Poppa Pain Strains, and VCDC from Moxie Seeds. Resin Seeds’ own Dieseltonic is a backcrossing of Cannatonic and NYC Diesel, and has the same CBD potential as Cannatonic.

Cherry Wine and The Wife, two hemp strains commonly grown in the USA, are also Cannatonic hybrids. Resin Seeds estimates that 80% or more of all American, Swiss, and Italian grown hemp varieties include Cannatonic in their lineage.  

When cultivating Cannatonic, its breeder reports Indica-like growth patterns and a 63-70 day flowering period. There’s minimal genetic variation, according to tests from Phylos Bioscience. Resin Seeds also reports the strain is both pest- and powdery mildew-resistant and recommends indoor growing with a light source set higher than usual over the plants. Resin Seeds also reports that Cannatonic’s aromas range from strawberry, cherry, mandarin peel, and grape to haze and diesel; with myrcene being the strain’s dominant terpene. Cannatonic won 3rd Place in the Sativa category at the 2008 High Times Cannabis Cup. ",,"Resin Seeds, Resin Seeds Cannatonic Grow Guide, Phylos Bioscience",,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/043/avatar/original/1557959046-171003_49264_Cannatonic_1.jpg,https://images.weedmaps.com/strains/000/000/043/hero/original/1583431965-Cannatonic_Strain_BR.jpg,[],"[{'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}]","[{'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}, {'id': '7f7c4304-e131-4ddb-b50a-196bbadce83f', 'type': 'tag', 'name': 'Flowery'}, {'id': '8400b621-0d95-44e9-a03f-558e6af42555', 'type': 'tag', 'name': 'Pepper'}]"
Cannatonic #4,cannatonic-4,hybrid,"Cannatonic #4 is a cross of two legendary strains – MK Ultra and G13 Haze. According to internet sources, that’s what WalkerWadeLabs did to form this CBD-laden medical strain with very few reported intoxicating effects.",,WalkerWadeLabs,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/728/avatar/original/1566580931-171127_9347_Cannatonic4_1.jpg,https://images.weedmaps.com/strains/000/000/728/hero/original/1566580931-171127_9347_Cannatonic4_1.jpg,[],[],[]
Cannatonic X,cannatonic-x,hybrid,"Cannatonic X is a phenotype of Cannatonic. Cannatonic, sometimes also called CBD Queen, is a hybrid from Spain’s Resin Seeds. Cannatonic is a high-CBD cross of Reina Madre and NYC Diesel and was introduced around 2008. 

Other notable phenotypes related to Cannatonic X, include Cannatonic #4 and Cannatonic B, and Highlo, a Cannatonic IBL from House of the Great Gardener. 

Cannatonic’s breeder reports Indica-like growth patterns and a 63-70 day flowering period. Resin Seeds reports the strain is resistant to both pests and powdery mildew and recommends indoor growing that allows lights to sit higher than usual above the plants. Resin Seeds also reports that Cannatonic’s aromas range from strawberry, cherry, mandarin peel, and grape to haze and diesel; with myrcene being the strain’s dominant terpene, though phenotypes may express different aromas.",,Resin Seeds,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/727/avatar/original/1566580790-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/727/hero/original/1566580790-Strain_Flower-Hybrid_v5__1_.jpg,[],"[{'id': '7be809dd-648e-4f9c-af7f-ffc70a079066', 'type': 'tag', 'name': 'Euphoric'}]",[]
Canna-Tsu,canna-tsu,hybrid,"Canna-Tsu is a CBD-rich strain that was propagated by crossing a Cannatonic clone with the pollen from a male Sour Tsunami. First bred in Northern California by Southern Humboldt Seed Collective (aka SoHum Seeds), Canna-Tsu is an easy to cultivate hybrid cross that produces Indica leaning growth characteristics. 

The offspring of two respected strains, Canna-Tsu expresses Indica-like growth patterns during the vegetative cycle. Producing a squat and sturdy plant structure, Canna-Tsu generates a medium-yielding plant of flowers rich in CBD and adjusts easily to different cultivation environments. Canna-Tsu starts low and wide during the vegetative cycle and develops abundant foliage with multiple branches as it enters the flowering cycle. Cultivated outdoors, the flowers tend to reach full maturation by late October in the Northern Hemisphere, late April in the Southern Hemisphere. Indoors, growers will typically see their plants finish flowering roughly 70 days after entering the flowering cycle.

Canna-Tsu has a characteristically high CBD:THC ratio of roughly 1:1 and produces a relatively balanced effect. The strain, tested by Analytical 360 in 2013, tested at 10.93% for total CBD content and less than 9% THC. Canna-Tsu has a citrusy aroma and is typically high in the linalool terpene.

Both Canna-Tsu and Harle-Tsu are high-CBD strains that share Sour Tsunami’s genetics. Canna-Tsu non-femenized seeds are available online through SoHum. 
",,Southern Humboldt Seed Collective,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/042/avatar/original/1548953196-171113F_22793_CannaTsu_1.jpg,https://images.weedmaps.com/strains/000/000/042/hero/original/1548953196-171113F_22793_CannaTsu_1.jpg,[],"[{'id': '26cb0214-8165-42eb-8941-9718b9a5680e', 'type': 'tag', 'name': 'Happy'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}, {'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}]","[{'id': '14fddaf3-5d91-46b1-9d84-f48f7e6496c4', 'type': 'tag', 'name': 'Grapefruit'}, {'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}]"
Canna-Wreck,canna-wreck,hybrid,"Canna-Wreck is a Sativa-dominant cultivar bred to strike a balance between THC and CBD. Crossed from Canna-Tsu and Timewreck, the high-yield plant can nearly double in size once it begins to flower. Its aroma tends toward fruity and tropical.

Interestingly, its breeder, Oregon’s Homegrown Natural Wonders, logged stronger effects at the 7-week mark that mellowed for another two weeks if left in flower. Growers looking for a strong Canna-Wreck experience will want to harvest at seven weeks while those interested in more subdued effects are better off harvesting at nine weeks.",,Homegrown Natural Wonders,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/408/avatar/original/1562621281-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/408/hero/original/1562621281-Strain_Flower-Hybrid_v5__1_.jpg,[],[],[]
Captain's Cake,captain-s-cake,sativa,"Captain’s Cake is a cross of Girl Scout Cookies and White Fire OG. The Captain’s Connection in Maine originally bred the cultivar to capture the best of its exceptionally popular parents.
The top reported aromas of the Captain’s Cake strain are sour, earthy, and fruity. And it is said to taste like citrus, nuts, and cookies.","Captain’s Cake is a sativa-dominant strain that’s a cross between Girl Scout Cookies and White Fire OG. Captain’s Cake produces tall plants with slender leaves thanks to its sativa heritage. Captain’s Cake has an average flowering time between 56 and 63 days. The Captain’s Cake strain is best grown outdoors.
Captain’s Cake is available as seeds and clones.",,,,9.0,14.3,0.0,7.5,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],[],[]
Casey Jones,casey-jones,hybrid,"According to seed bank The Devil’s Harvest, breeder Grateful Head crossed Trainwreck with Sour Diesel and mixed in some Thai to create Casey Jones, a popular strain that takes diesely, earthy flavors from its parents. 

Though it’s mostly sativa, Casey Jones grows like an indica, developing quickly, resisting pests and disease, and providing a large crop in about eight weeks. Indoor conditions and Sea of Green (SOG) are recommended for this strain, which produces clustered flowers and not much greenery. The Devil’s Harvest says Casey Jones is fast-acting with an energizing effect. The strain won second place in Highlife Cannabis Cup in 2014 and third place in Spannabis 2013.",,Devil's Harvest Seed Co.,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/795/avatar/original/1567198205-180206_9010_CaseyJones_1.jpg,https://images.weedmaps.com/strains/000/000/795/hero/original/1567198205-180206_9010_CaseyJones_1.jpg,[],[],[]
Cataract Kush,cataract-kush,hybrid,"A hybrid of the popular LA Confidential and OG Kush, Cataract Kush is an indica-dominant strain from DNA Genetics. It is known for packing a wallop of THC (between 20% and 25% by some counts) and can produce a deeply relaxing effect. Suited to the more experienced user, Cataract Kush may help with migraines, and, as the strain’s name implies, it may relieve some of the eye pressure associated with cataracts. The strain’s aroma can vary from intensely fruity to pungently medicinal with an equally surprising taste of both sweet and sour.","A semi-humid environment, indoors or outdoors, is necessary for successful cultivation of Cataract Kush. Growers will see not only flowers in 8 to 9 weeks but also a rare blanket of crystals. This easy-to-grow strain reaches a modest maximum height of 4 feet and can yield a bountiful harvest.",,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],[],"[{'id': '9f52b69a-8a25-4501-8dc9-2cdfa6b078a0', 'type': 'tag', 'name': 'Sweet'}]"
Catfish,catfish,sativa,"Catfish is a pure sativa strain developed by breeder Midnight Roots. While its exact genetics are unknown, many speculate that the Michigan-born cultivar descends from the Kush family. 
The top reported aromas of the Catfish strain are pungent, earthy, and chemical. And it is said to taste like ammonia, earth, and berries. 
Catfish won the 2014 High Times Medical Cannabis Cup Michigan for Best Sativa.","Catfish is a sativa strain that descends from Kush genetics. Catfish produces tall plants with slender leaves thanks to its sativa heritage. Catfish has an average flowering time between 56 and 63 days and is known to produce high yields in ideal conditions. The Catfish strain grows well both indoors and outdoors. 
Catfish is not available as seeds or clones. ",,,,7.5,18.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],"[{'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}]",[]
Cat Piss,cat-piss,hybrid,"Cat Piss is a strain with various sources of origin. Below are several anecdotes about the strain's inception. 

Origin #1
The clone-only version of Cat Piss was derived from a select phenotype of Super Silver Haze. Her flowers are rock-hard and shaped like a small pine cone with a glowing neon-green hue. Cat Piss has shades of dark green and lavender that will remind you of a tropical jungle. Her flowers are littered with long, deep, amber-colored hairs with a thick resin coating.

When cultivated indoors, Cat Piss typically completes a flowering cycle within 65 days of the 12/12 light cycle switch. As a Sativa-dominant clone, this strain responds well to low-stress training (LST). When grown in a Screen of Green (SCROG) environment, cultivators will witness an increase in vegetation and ultimately higher yields. Cat Piss thrives in both indoor and outdoor grow environments and is known to produce moderate yields when left untrained. The flavors are spiced with an ammonia nose, and the effect works well at managing stress and depression. 

Note: In cannabis folklore, Cat Piss has two other origin stories. SoCal Cat Piss was derived from the famed TrainWreck strain, while NorCal Cat Piss is thought to be related to an Afghani landrace.

Origin #2
SoCal Cat Piss (Catpiss) is a Sativa-dominant clone-only strain that was purportedly derived from the Trainwreck strain. This version of Cat Piss has an Indica plant structure and growth pattern that produces a shorter plant with a skunky essence. SoCal Cat Piss is known for its abundant yields and its medicinal effects. 

Origin #3
NorCal Cat Piss is an Indica-leaning clone only strain that was tracked down and saved by Shabud, a well-known member of the online forum community Overgrow.com. As the story goes, Norcal Cat Piss inspired Shabud’s early growing career and he spent the next 15 years looking for the strain. The flavor of NorCal Catpiss is pungent and earthy and works well for evening use. While Cat Piss typically displays Sativa phenotypes, NorCal Catpiss leans on its Indica genetics and has been utilized to create several hybrids. ",,,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/044/avatar/original/1549406564-180129F_21037_Cat_Piss_1.jpg,https://images.weedmaps.com/strains/000/000/044/hero/original/1582839628-Cat-Piss_Dl_.jpg,[],"[{'id': 'd81a933b-fce8-4b97-b393-13c95de15a7e', 'type': 'tag', 'name': 'Aroused'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}, {'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}]",[]
CBD Queen,cbd-queen,hybrid,"This high-CBD strain was originally bred by Canada’s BC Growers Association. Online sources claim CBD Queen is a cross of a Northern Lights #5, a Haze hybrid from Sensi Seeds and a variety called Juanita La Lagrimosa. 

Online sources report the strain grows tall, responds well to low-stress training (LST,) and flowers in 56-to-70 days. It’s reported to grow well both indoors and outdoors. 

Queen seeds are available through Netherlands-based MSNL.",,,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/045/avatar/original/1560551645-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/045/hero/original/1560551645-Strain_Flower-Hybrid_v5__1_.jpg,[],[],[]
CBD Rich Blessing,cbd-rich-blessing,hybrid,"According to Attitude Seedbank, Bodhi Seeds crossed the legendary medical strain Cannatonic AC/DC with Good Medicine to create this strain on the medicinal end of the cannabis spectrum. As indicated by the name, CBD Rich Blessing is heavy on CBD, making it highly sought after in the medical marijuana community. Sources online say its green, trichome-covered buds smell herbal, earthy, and sweet, and CBD Rich Blessing exhibits a light floral taste.

CBD Rich Blessing can be grown indoors or outdoors and flowers in about eight weeks, according to Attitude Seed Bank. Other sources online say the strain has a relaxing lift that lasts a long time.
",,Bodhi Seeds,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/731/avatar/original/1566581958-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/731/hero/original/1566581958-Strain_Flower-Hybrid_v5__1_.jpg,[],"[{'id': '79b2d842-1197-448e-b74a-41fd13c2cb27', 'type': 'tag', 'name': 'Sleepy'}]",[]
