Index,Strain,Type,Rating,Effects,Description,Flavors,Nearest
55,Rainbow Jones,indica,5.0,"Relaxed,Talkative,Uplifted,Happy,Aroused","Rainbow Jones by Connoisseur Genetics is a colorful indica-dominant strain with golden hairs and varying shades of purple. Created by crossing Granddaddy Purple and Casey Jones, this strain offers predominantly sedative effects coupled with Casey Jones’ heady euphoria. The terpene profile is tart and earthy while retaining an herbaceous spice upon combustion/vaporization. Enjoy Rainbow Jones later into the evening to assist with minor physical pain, depression, or restlessness.","Diesel,Sweet,Grape","55,1798,539,1267,1893,1129"
56,Raindance,hybrid,5.0,"Happy,Uplifted,Energetic,Giggly","Raindance by Greenpoint Seeds is a vigorous cannabis variety with quick vegetative growth and a generous yield. A cross of Deadhead OG x (Chemdawg 4 x Chemdawg BX), this strain is a quick and vigorous take on the OG and Chemdawg genetic lines, with strong emphasis on chemical aromas. Consumers should also detect a pungent, skunky aroma dominated by tart lemons, pine needles, and diesel fumes. Raindance is primarily indica-dominant, but also offers pleasant cerebral effects. It can be utilized for midday pain, anxiety, depression, and general decompression after a long day. This is a must for OG and Chem lovers!","Grapefruit,Tropical,Flowery","56,880,948,866,968,17"
57,Rebel Berry Og,hybrid,5.0,"Euphoric,Happy,Uplifted,Relaxed,Creative","Rebel Berry OG was the winner for Best Outdoor at the 2016 Oregon Growers Cup. This sativa-dominant hybrid created by Kotton for Rebel Spirit Cannabis was bred for potency and its ability to stimulate creativity. Its one-of-a-kind aroma is thick with blueberries, citrus, cheese, and a smooth yet spicy vanilla finish. The flavor is that of a velvety cheesecake covered in a blueberry glaze, with tasteful notes of citrus and juniper on the exhale. Rebel Berry OG’s effects are happy and full of laughter, leaving the consumer buzzing with euphoria. This clone-only strain is offered exclusively by Rebel Spirit Cannabis.","Blueberry,Cheese,Vanilla","57,301,79,962,1028,1369"
58,Silverhawks Og,sativa,5.0,"Euphoric,Relaxed,Uplifted,Creative,Happy","Silverhawks OG is a strong cross between Super Silver Haze and White Fire Alien OG, preferred by consumers for daytime use. This sativa-dominant strain is creative and energizing while remaining useful for relieving discomforts such as cramps, muscle spasms, and anxiety. Expect a funky, pungent citrus aroma with hints of fuel.","Lime,Citrus,Flowery","58,581,1164,1364,798,1313"
59,Remo Chemo,hybrid,5.0,"Talkative,Uplifted,Creative,Euphoric,Giggly","Remo Chemo is another collaborative strain from Dinafem Seeds. Created by esteemed Canadian grower, Urban Remo, Remo Chemo is technically a backcross of itself, but the base genetics consist of UBC Chemo and Bubba Kush. Adored for its high THC content, Remo Chemo also offers a Kush-forward terpene profile that contains aromas of earth, gas, and pepper. As the name might suggest, Remo Chemo is adept at assisting with side effects of chemotherapy by stimulating appetite, reducing nausea, and curbing pain.","Spicy/Herbal,Pepper,Pungent","59,1130,1386,1283,1353,1896"
60,Rocky Dennis,hybrid,5.0,"Euphoric,Happy,Uplifted,Relaxed,Sleepy","Rocky Dennis by Cannarado Genetics is terpene-rich cross of two naturally aromatic strains, CO Flo and Sour Dubble. This genetic combination delivers a sweet and sour aroma with distinctly earthy undertones, expressing a chemically taste on the exhale. This unique flavor profile makes it perfect for concentrates and is also alluring to seasoned cannabis consumers looking to challenge their palate. Enjoy Rocky Dennis in small doses to maintain a functional buzz that mutes minor aches while dulling your sense of fatigue and stress.","Diesel,Earthy,Citrus","60,216,529,662,1683,416"
61,Silver Calyx,hybrid,5.0,"Aroused,Energetic,Euphoric,Focused,Relaxed","Silver Calyx by Calyx Garden is a balanced hybrid created from potent and popular genetics. This strain is a cross of Platinum Calyx (a Platinum GSC mashup) and a rogue seed found in a GG#4 bag. The sticky, trichome laden exterior makes Silver Calyx an apt name for this pungent flower. It has a classic GG#4 aroma full of earth and skunk, but also has a distant, sweet berry undertone. Utilize Silver Calyx to help stave off headaches, minor physical discomfort, and insomnia.","Lemon,Tree,Fruit,Pine","61,98,114,84,2034,2009"
62,Blackberry Fire,hybrid,5.0,"Creative,Happy","Blackberry Fire by Purple Caper Seeds is a fuel-flavored cross of Blackberry Kush and Fire Lady. This strain was awarded 2nd place at the 2016 HempCon Cup Awards. Its terpene profile is less berry and more gas, offering sour, chemically sweetness with hints of fruit throughout. This strain’s long-lasting buzz lends itself to consumers seeking resilient physical effects.","Sweet,Berry,Blueberry","62,927,1446,1416,533,2106"
63,Royal Tree Sherbet,hybrid,5.0,Relaxed,"Sherbet by Royal Tree Gardens is another genetically distinct strain under a familiar name. Royal Tree’s Sherbet cut is close to the original, crossing an unknown Purple Cookies with Platinum Girl Scout Cookies. This twice-deep mixture of Cookies genetics gives the plant a sweet, sugary aroma that is as alluring on the nose as it is on the palate. Sherbet provides a clear-headed and uplifting mental state, and a pleasant terpene profile that is sure to excite novice and seasoned consumers alike.","Tropical,Sweet,Berry","63,614,84,710,705,525"
64,Blood Orange Kush,indica,5.0,"Sleepy,Uplifted,Euphoric,Happy,Creative","Blood Orange Kush is an indica-dominant cross of, as of now, the unknown or unnamed genetics Aota x Pinecracker and an unnamed OG. This plant has a bushy structure that doesn’t yield much, but the dense, trichome-covered nugs are prized for their bright terpene profile and heavy effects. Blood Orange Kush emits a bouquet of gas and tart citrus that fills the room and coats the palate. Its uplifting mental buzz and relaxing physical effects make Blood Orange Kush a solid option for consumers looking to abate minor pain and elevate mood.","Diesel,Citrus,Orange","64,648,108,871,1786,2031"
65,Scouts Honor,hybrid,5.0,"Relaxed,Creative,Giggly,Talkative,Uplifted","Scout’s Honor is an indica-dominant hybrid created by Bert Baccarat and produced by Los Angeles Kush. This strain grows dense, resinous buds with sporadic purple foliage and a generous dusting of trichomes. Scout’s Honor is a cross of OGKB (OG Kush Breath) and OG Kush, giving the strain a pungent, earthy aroma overlaid with a doughy sweetness. This savory and sweet strain stimulates the appetite while imbuing the consumer with weighted, euphoric relaxation. Enjoy Scout’s Honor to help with stress, insomnia, and minor pain relief.","Sweet,Tropical,Flowery","65,383,470,141,694,389"
66,Black Cherry Pie,hybrid,5.0,"Relaxed,Uplifted,Creative,Euphoric,Happy","Black Cherry Pie is a fruity strain with colorful foliage. Created by Green Mountain Collective, this strain is the genetic offspring of Blackberry Kush and Cherry Pie. These genetics are exhibited in the deep purple hues overlaid by jade green buds with orange hairs, as well as in the pungent woody aroma smeared with tart blackberry. Black Cherry Pie’s physical effects soothe nausea and minor aches and pains while keeping the mind aloof and creative. Its bright mind and semi-sedative effects make it a natural complement for indoor activities and relaxed evenings.","Earthy,Berry,Sweet","66,1834,550,1338,1559,701"
67,Blueberry Bomb,hybrid,5.0,Relaxed,"Blueberry Bomb is an indica-dominant hybrid created by Palomar Craft Cannabis. This strain is a cross of Blueberry x Afghani and offers semi-weighted physical effects that relax muscles while combating stress and anxiety. The terpene profile is dominated by the scent of fresh blueberries, but underlying notes of orange peel and sweet earth can be present as well. Enjoy this strain near the end of the day to maximize its soothing physical attributes.","Berry,Citrus","67,73,191,131,83,361"
68,Pineapple Sage,sativa,5.0,"Uplifted,Creative,Energetic,Euphoric,Focused","Pineapple Sage by Love Genetics is a backcross of CBD Rich Blessing with a unique expression of recessive genetics. It boasts a strong THC-dominant cannabinoid profile despite being created from relatively balanced 2:1 THC/CBD strains. This unique expression of the CBD Rich Blessing yields a tropical and herbal terpene profile of citrus and sage with effects that are centered and sativa-forward. Pineapple Sage is motivating and optimistic without being overstimulating, making it a helpful companion for active cannabis consumers.","Sage,Sweet,Lemon","68,1071,2125,157,628,1229"
69,Bubba X Skunk,hybrid,5.0,"Creative,Euphoric,Relaxed,Happy,Tingly","Old School Breeders Association crossed the original Bubba Kush clone with a reliable, true-breeding Skunk in an effort to speed up veg times, add height, and increase yields. The resulting hybrid is a faster, larger version of Bubba Kush, with pungent, sweet-smelling buds and a nice hybrid high with uplifting cerebral effects and a relaxing body high.","Diesel,Skunk,Pine","69,194,1522,1588,1283,313"
70,Bertberry Cheesecake,sativa,5.0,"Uplifted,Creative,Euphoric,Focused,Energetic","Bertberry Cheesecake by Bert Baccarat is a bright sativa-dominant cross of Alien Moonshine and UK Cheese. This strain’s terpene profile is rich with sweet citrus, and its buds are bulbous, bright green, and tangled in orange hairs. Bertberry Cheesecake is both mentally and physically stimulating, offering creativity and strong euphoria. But mind your dosage, as Bertberry Cheesecake has been known to overstimulate consumers prone to anxiety.","Cheese,Berry,Tree,Fruit","70,1369,1278,1745,1919,164"
71,Bubba Fresh,hybrid,5.0,"Aroused,Sleepy,Tingly,Uplifted,Creative","Bubba Fresh by NorStar Genetics is a new take on Pre-98 Bubba Kush. This delicious cut combines the earthy, chocolate coffee aroma of Pre-98 Bubba Kush with the fruity sweetness of Banana OG. Its dreamy buzz and carefree effects help abate depression while enhancing mood. Enjoy Bubba Fresh’s sweet flavors and relaxing attributes later in the day to maximize effects.","Citrus,Earthy,Pine","71,313,1772,1173,20,194"
72,Phantom Arrow,indica,5.0,"Happy,Relaxed,Tingly,Euphoric,Focused","Phantom Arrow by Cereal Killer Genetics is another smelly treat from Shaman Stinky Steve. This indica-dominant cross of Purple Arrow and Phantom Kush is a powerful medicine for consumers suffering from anxiety, migraines, and chronic pain. Phantom Arrow’s stoney body effects settle behind the eyes and the forehead while seeping into the extremities as a subtle, calming warmth. The bouquet is a delicate arrangement of champagne, eucalyptus, cherry, and floral undertones that coat the palate on the exhale.","Tree,Fruit,Menthol,Flowery","72,126,11,379,1176,148"
73,Bright Fire,indica,5.0,"Hungry,Relaxed,Uplifted,Creative,Euphoric","Bright Fire by Palomar Craft Cannabis is a rewarding yet difficult plant to grow. This strain is a cross between Fire OG and Tangie Sunrise. It has a stunning bud structure “that looks like they’re ready to ignite,” as described by the grower, and a terpene profile rich with pine and citrus. Bright Fire offers consumers physical relaxation while stimulating the appetite. Enjoy this strain later in the day to harness its gorgeous semi-sedative effects.","Pungent,Earthy,Citrus","73,67,131,2068,2099,70"
74,Phishhead Kush,indica,5.0,"Giggly,Happy,Talkative,Tingly,Uplifted","Phishhead Kush, named in homage to the American rock band, is an indica strain that was passed down from an older grower to the cultivators at The Clinic in Colorado. This heavy-handed strain descends from age-old Afghani indicas and inherits a spicy, woody aroma that comes to life when ground up. Heavy hypnotic effects lead the way, leaving both mind and body feeling blissfully pacified.","Sweet,Berry","74,1562,400,722,1818,1349"
75,Big Mac,indica,5.0,"Relaxed,Aroused,Sleepy,Talkative,Tingly","Big Mac by Federation Seeds is an indica-dominant strain with unique sativa fan leaves and an accelerated grow cycle. This generous cut of Mikado and BC Big Bud develops quickly indoors, growing upwards of six feet tall over its speedy seven week maturation. The large plant produces a healthy yield of fruity mid-sized buds that reek of berry and citrus peel. Big Mac’s effects elevate the mind and relax the body, offering a creative bent to a satisfying sedation. Enjoy Big Mac to stimulate the mind and the appetite while infusing the limbs with a relaxing weighted warmth.","Sweet,Berry,Blueberry","75,861,1978,39,1697,1050"
76,Brand X,indica,5.0,"Sleepy,Relaxed,Hungry,Happy,Euphoric","Brand X, also known as The Ostipow Indica, is a decades-old heirloom strain that hails from Michigan. Earthy pine aromas mingle with notes of hashy mint in a flavorful introduction to this indica's heavy full-body relaxation. The sedating effects come coupled with a hazy euphoric head buzz that leaves you floating in a blissful headspace for hours. Its buds grow into tightly compacted cones that exude thick layers of frosty resin in a show of Brand X’s high THC content.","Earthy,Pine,Tar","76,284,338,1941,598,716"
